RunOrder,RUNID,SLXSAND,SLXCLAY,Soil.Type,Climate,SM_FIRE,Predicted.Fire.Frequency,Fire.Intensity
1,s5-f5,0.38,0.62,clay,bcc-csm1-1_024.01,0,no fire,0.33
2,s1-f1,0.93,0.07,sand,bcc-csm1-1_024.01,0.025,3 to 8 years,0.33
3,s1-f5,0.93,0.07,sand,bcc-csm1-1_024.01,0,no fire,0.33
4,s5-f1,0.38,0.62,clay,bcc-csm1-1_024.01,0.025,8 years,0.33
5,s1-f3,0.93,0.07,sand,bcc-csm1-1_024.01,0.015,20 years,0.33
6,s5-f3,0.38,0.62,clay,bcc-csm1-1_024.01,0.015,> 20 years,0.33
7,s3-f3,0.66,0.34,sandy clay loam,bcc-csm1-1_024.01,0.015,> 20 years,0.33
8,s3-f5,0.66,0.34,sandy clay loam,bcc-csm1-1_024.01,0,no fire,0.33
9,s3-f1,0.66,0.34,sandy clay loam,bcc-csm1-1_024.01,0.025,3 to 8 years,0.33
10,s5-f2,0.38,0.62,clay,bcc-csm1-1_024.01,0.02,> 7 years,0.33
11,s1-f2,0.93,0.07,sand,bcc-csm1-1_024.01,0.02,7 years,0.33
12,s3-f2,0.66,0.34,sandy clay loam,bcc-csm1-1_024.01,0.02,> 7 years,0.33
13,s5-f4,0.38,0.62,clay,bcc-csm1-1_024.01,0.01,> 30 years,0.33
14,s1-f4,0.93,0.07,sand,bcc-csm1-1_024.01,0.01,> 30 years,0.33
15,s3-f4,0.66,0.34,sandy clay loam,bcc-csm1-1_024.01,0.01,> 30 years,0.33
16,s2-f2,0.8,0.2,sandy loam,bcc-csm1-1_024.01,0.02,> 7 years,0.33
17,s4-f2,0.52,0.48,sandy clay,bcc-csm1-1_024.01,0.02,> 7 years,0.33
18,s2-f4,0.8,0.2,sandy loam,bcc-csm1-1_024.01,0.01,> 30 years,0.33
19,s4-f4,0.52,0.48,sandy clay,bcc-csm1-1_024.01,0.01,> 30 years,0.33
20,s2-f5,0.8,0.2,sandy loam,bcc-csm1-1_024.01,0,no fire,0.33
21,s2-f1,0.8,0.2,sandy loam,bcc-csm1-1_024.01,0.025,3 to 8 years,0.33
22,s2-f3,0.8,0.2,sandy loam,bcc-csm1-1_024.01,0.015,> 20 years,0.33
23,s4-f5,0.52,0.48,sandy clay,bcc-csm1-1_024.01,0,no fire,0.33
24,s4-f1,0.52,0.48,sandy clay,bcc-csm1-1_024.01,0.025,3 to 8 years,0.33
25,s4-f3,0.52,0.48,sandy clay,bcc-csm1-1_024.01,0.015,> 20 years,0.33
